Epoch,Loss,Accuracy
1,0.1056,47.63
2,0.0507,47.22
3,0.0506,46.97
4,0.0506,47.55
5,0.0506,45.91
6,0.0505,49.67
7,0.0504,51.15
8,0.0505,46.4
9,0.0505,47.71
10,0.0505,47.55
