Epoch,Loss,Accuracy
1,0.1429,70.1428
2,0.1312,73.9507
3,0.1181,74.7296
4,0.1129,74.167
5,0.1173,76.4171
6,0.1076,77.9316
7,0.1016,76.547
8,0.1084,77.8451
9,0.1012,77.2826
10,0.1048,78.0182
